text_processed,Label
lumayan sih untuk cuci mtorny bersih,positif
tempat cuci motr salon motr dn cuci helm saran utk helm yg hrga d atas rp rb mending d tmpt cuci helm lain atau cuci helm khusus yg bner perhati ada helm nya spt apa y spy nyaman sj dgn pemilik helm nya utk kali ni cuci helm nya gk bs jam d tunggu hrus tunggu jam,positif
selalu puas detailing sini dari poles mobil coating motor thanks bang aji,positif
mantap gbyuur auto kinclong kayak baru,positif
ada satu karyawan ga punya attitude orang dateng buka sambut bae bae malah gas kek orang ajak antem suci semaonye masih pada kotor mana ada suci ga sampe menit kocakkkkkk,negatif
tempat steam motor bersih n cepat,positif
bersih,positif
gbyuur emang jago bikin kinclong mobil,positif
habis cuci motor di gas gak bisa jalan jemur dulu baru bisa jalandibawa ke bengkel cvt masuk air nyata pas cuci,negatif
cuci motor,positif
lokasi tunggu kurang nyaman sih betul kotor area kaya butuh renovasi hehehe panas juga krna ga ada kipas wkekk murahmurah sih steamnya motor kecil k motor sedang k motor besar k lokasi pinggir jalan,negatif
topbgt pokok apa lg waitersny pokok top bgt sukses sllu dan jga prioritas tamunyaslam sukses sllu watrise womenny,positif
mantab dan pantul,positif
pelayanannya sangat kurang sekali cuci motor mio makan waktu hampir jam hanya karena motor saya mio tinggal begitu saja dan dahulu motor motor sedang seperti pcx dll kan saya yang datang lebih dahulu,negatif
tempat enak cuci bersih harga fair enough,positif
lumayan bersih ramah jg yg kerja,positif
solusi motor biar kinclongmantab,positif
mobil bersih gbyuur pelayanan top,positif
suci ga sampe menit hasil masih pada kotor boro kerak liat pas kering pelayanan buruk,negatif
cuci steam pick me bukan bagi dari group cuci gue gbyuur officiallokasi kami sudah pindah beda meter dari lokasi yang lama yang saat ini nama pick ingat mau bersih dan kinclong ya di gue gbyuur yaa emosipositif,positif
nice hasil steam nya bersih kinclong dapat kartu untuk tukar steam gratis tapi kalau sudah kumpul kartu yaa gaesss,positif
cuci premium nya gokil banget,positif
cuci nya bersih,positif
hasil cuci paket glow sangat muas emosipositif harga jangkau emosipositif,positif
cuci lumayam cepat dan banyak banget tukang cuci hasil cuci cukup bersih bisa juga buat megkilat motor kita dan yang beda ada cuci helm juga nih sambil nunggj motor cuci bisa pesan minum hangat mantabbb lah moga jaya terus,positif
hasil bagus pelayanannya puas,positif
salah satu tempat steam khusus motor di wilayah pasir putih tempat ga terlalu besar mungkin sekali pakai semua bisa motor antri sudah pasti ada kalo ada perlu bisa kok tinggal,positif
kaga bersih,negatif
cuci yah bersih banget,positif
